8.4615,43.8558
10.5128,36.9327
13.8462,29.2404
17.1795,23.8558
21.7949,17.7019
27.9487,10.7788
35.641,4.2404
44.1026,5.3942
53.5897,5.7788
60.2564,8.0865
67.1795,5.3942
72.0513,5.3942
76.4103,8.0865
80.2564,13.0865
84.359,20.7788
86.1538,32.7019
86.4103,40.3942
86.1538,53.4712
83.5897,64.625
81.5385,69.625
78.7179,73.0865
76.4103,76.1635
72.3077,80.0096
66.1538,82.7019
60.2564,86.9327
48.9744,89.625
40.7692,89.625
30.5128,90.3942
23.5897,85.3942
18.9744,79.625
16.6667,73.0865
13.5897,65.3942
12.5641,61.1635
10.7692,57.3173
9.7436,52.7019
9.2308,50.0096
12.8205,102.3173
12.3077,93.8558
12.0513,83.8558
12.0513,75.3942
12.5641,71.5481
14.6154,105.3942
19.7436,102.3173
24.8718,97.7019
26.4103,95.7788
27.9487,92.3173
62.8205,91.9327
67.1795,96.5481
72.3077,99.625
76.9231,101.5481
80.5128,101.1635
83.3333,101.1635
83.5897,101.1635
83.5897,94.625
84.359,87.3173
84.359,82.7019
83.3333,77.7019
82.3077,74.625
82.3077,73.8558
22.5641,57.7019
26.9231,62.3173
33.0769,65.3942
37.6923,65.3942
40.2564,63.8558
43.3333,59.2404
45.641,50.0096
44.6154,44.2404
40,41.9327
29.4872,44.2404
27.9487,46.1635
23.8462,51.5481
22.5641,54.2404
32.3077,43.4712
37.4359,40.3942
34.6154,60.3942
34.1026,55.0096
36.6667,50.0096
39.7436,48.0865
41.2821,46.9327
53.5897,64.625
55.641,51.5481
61.2821,44.2404
67.9487,39.2404
75.1282,38.8558
76.6667,47.3173
75.1282,52.3173
72.5641,57.7019
68.4615,64.2404
64.8718,67.7019
54.359,66.5481
53.3333,65.0096
57.6923,68.0865
61.0256,68.8558
62.3077,68.4712
68.9744,56.9327
65.3846,53.8558
66.9231,48.4712
67.9487,46.1635
70.2564,43.0865
74.1026,40.3942
49.4872,39.2404
52.5641,38.4712
50.5128,36.1635
50,36.5481
32.8205,26.9327
38.9744,29.2404
44.359,31.9327
46.6667,32.7019
50.5128,33.8558
55.1282,32.3173
59.7436,29.2404
66.9231,25.0096
69.2308,23.8558
42.8205,26.9327
45.641,22.7019
48.4615,20.7788
50,20.0096
53.3333,20.3942
55.641,22.3173
57.1795,25.3942
58.2051,26.5481
35.1282,91.5481
45.3846,90.7788
52.5641,89.2404
56.9231,89.2404
32.5641,5.7788
24.6154,14.2404
19.4872,21.1635
10.7692,34.625
42.5641,53.8558
37.6923,59.2404
40.2564,54.2404
69.2308,54.625
71.7949,52.3173
73.5897,47.7019
69.7436,49.625
52.0513,61.9327
53.8462,57.7019
29.4872,65.0096
23.8462,60.3942
67.9487,51.9327
73.3333,45.3942
42.3077,50.0096
36.9231,54.625
